F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S colord      1433       1  0  80   0 - 132749 -     02:48 ?        00:00:00 /usr/libexec/colord
4 S root        1543    1052  0  80   0 - 133985 -     02:48 ?        00:00:00 gdm-session-worker [pam/gdm-password]
4 S joaocout    1557       1  0  80   0 -  5770 do_epo 02:48 ?        00:00:02 /usr/lib/systemd/systemd --user
5 S joaocout    1562    1557  0  80   0 -  7302 -      02:48 ?        00:00:00 (sd-pam)
1 S joaocout    1580       1  0  80   0 - 150686 do_sys 02:48 ?       00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
4 S joaocout    1594    1543  0  80   0 - 93687 do_sys 02:48 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
0 S joaocout    1597    1557  0  80   0 -  2629 do_epo 02:48 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
0 S joaocout    1599    1597  0  80   0 -  1741 do_epo 02:48 ?        00:00:01 dbus-broker --log 4 --controller 9 --machine-id ddd768ae5a06441896a6fa01673113aa --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
0 S joaocout    1601    1594  0  80   0 - 128693 do_sys 02:48 tty2    00:00:00 /usr/libexec/gnome-session-binary
0 S joaocout    1660    1557  0  80   0 - 76064 do_sys 02:48 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
0 S joaocout    1661    1557  0  80   0 - 61171 do_sys 02:48 ?        00:00:00 /usr/libexec/uresourced --user
0 S joaocout    1664    1557  0  80   0 - 268192 do_sys 02:48 ?       00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
0 S joaocout    1668    1557  0  80   0 - 113214 do_sys 02:48 ?       00:00:00 /usr/libexec/gvfsd
0 S joaocout    1674    1557  0  80   0 - 94996 futex_ 02:48 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
0 S joaocout    1679    1557  0  69 -11 - 86783 do_epo 02:48 ?        00:00:48 /usr/bin/pipewire
